transcript,geneID,geneName
FBtr0070872,FBgn0029843,Nep1
FBtr0071603,FBgn0020306,dom
FBtr0074441,FBgn0024238,Fim
FBtr0076843,FBgn0011640,lark
FBtr0083759,FBgn0038704,CG5316
FBtr0083760,FBgn0038704,CG5316
FBtr0445726,FBgn0038704,CG5316
FBtr0084530,FBgn0053111,FBgn0053111
FBtr0331697,FBgn0027539,lili
FBtr0303148,FBgn0004369,Ptp99A
FBtr0085769,FBgn0051005,qless
FBtr0345211,FBgn0051005,qless
FBtr0308564,FBgn0016754,sba
FBtr0308309,FBgn0263257,Cngl
FBtr0330278,FBgn0263995,cpo
FBtr0074759,FBgn0031051,Ranbp21
